ji3vu;3ck coffeey94cafez;4nj/ |我想喝coffee在cafe放鬆
rup wu0 wu0 fu4cp3goodg4ck6go out|今天天氣很good適合go out
ji3y94 study machine learning c04 ai|我在 study machine learning 和 ai
w8 vu3cj0 eat sushiy94japan restaurant|他喜歡eat sushi在japan restaurant
ji3ap7fm4shoppingy94mallvu04y94|我們去shopping在mall現在
ji35k4ek7moviecp3interestingji3vu;3watch|這個movie很interesting我想watch
ji3ul4 drink milk tea y94 taipei|我要 drink milk tea 在 taipei
su3vu;31j4vu;3 play basketball u fu3|你想不想 play basketball 一起
ji3y94 office work on project cp3 busy|我在 office work on project 很 busy
w8 ao3wu0 run y94 park yl3g;4|他每天 run 在 park 早上
ji3vm,6 coding python c04 javascript|我學 coding python 和 javascript
5k41p3bookcp3goodji394read|這本book很good我愛read
ji3vu;3travel tokyo next year|我想travel tokyo next year
w8 y94gym workout every daycp3strong|他在gym workout every day很strong
ji3ap7t lunchy94chinese restaurant|我們吃lunch在chinese restaurant
5k4ek7songcp3niceji3like it|這個song很nice我like it
ji3ul4buy phone y94apple store|我要buy phone 在apple store
su3cjo4speak english a8 cp3important|你會speak english 嗎很important
ji3y94home watch netflix drama|我在home watch netflix drama
w8 vm,6 art design y94university|他學art design 在university
ji3vu;3learn cooking italian food|我想learn cooking italian food
5k4ek7gamecp3funji3play every night|這個 game 很 fun 我 play every night
ji3ap7 meet y94 coffee shop tomorrow|我們 meet 在 coffee shop tomorrow
w8 vu3cj0 listen musicy94bus|他喜歡listen music在bus
ji3y94library study examcpp3hard|我在library study exam很hard
su3ul4join us for dinnera87|你要join us for dinner嗎
ji3vu;3watch concerty94stadium|我想watch concert在stadium
w8 ao3wu0 drink watercp3important|他每天drink water很important
ji3vm,6mathc04physicsy94school|我學math和physics在school
5k4ek7 food cp3 delicious ji3 love it|這個 food 很 delicious 我 love it
ji3ul4 go gym after work|我要 go gym after work
su3vu;3watch movie y94 clinema a87|你想 watch movie 在 cinema 嗎
ji3y94office meeting with boss|我在office meeting with boss
w8 vm,6english speaking every morning|他學english speaking every morning
ji3vu;3buy shoes y94nuke store|我想buy shoes 在nike store
5k4ek7place cp3beautifulji3 like here|這個place 很beautiful 我like here
ji3ap7play game onlineu fu3|我們play game online一起
w8 y94school learn computer science|他在school learn computer science
ji3ul4 eat breakfast y94 cafe|我要 eat breakfast 在 cafe
su3cjo4 drive car a87cp3 useful|你會 drive car 嗎很 useful
ji3vu;3visit korea next month|我想visit korea next month
w8 vu3cj0 coffee latte cp3much|他喜歡coffee latte 很much
ji3y94park walk and relax|我在 park walk and relax
5k41p3movie cp3sad ji3cry|這本movie 很sad 我cry
ji3ap7study together y94library|我們study together 在 library
ao3wu0 cook dinner for family|每天cook dinner for family
ji3vu;3 learn english online course|我想 learn english online course
su3ul4 come party tonight a87|你要 come party tonight 嗎
ji3y94 gym lift weights cp3 string|我在 gym lift weights 很 strong
w8 vm,6business management y94 colloge|他學 business management 在 college
